n_simbolos_processados,comprimento_medio_progressivo
163400,2.397801
163500,2.397452
163600,2.397265
163700,2.397437
163800,2.397383
163900,2.397441
164000,2.397342
164100,2.397294
164200,2.397302
164300,2.397313
164400,2.397175
164500,2.397815
164600,2.397845
164700,2.397992
164800,2.397844
164900,2.397774
165000,2.397645
165100,2.397577
165200,2.397923
165300,2.397728
165400,2.397879
165500,2.397928
165600,2.397970
165700,2.398173
165800,2.397869
165900,2.397765
166000,2.397412
166100,2.397038
166200,2.397087
166300,2.397251
166400,2.396860
166500,2.396755
166600,2.396962
166700,2.397378
166800,2.397343
166900,2.397053
167000,2.396845
167100,2.396725
167200,2.396714
167300,2.396395
167400,2.395973
167500,2.395753
167600,2.395610
167700,2.395395
167800,2.395176
167900,2.395413
168000,2.395333
168100,2.395269
168200,2.395093
168300,2.394788
168400,2.394651
168500,2.394613
168600,2.394449
168700,2.394581
168800,2.394611
168900,2.394275
169000,2.394035
169100,2.393714
169200,2.393561
169300,2.393334
169400,2.393184
169500,2.392968
169600,2.392680
169700,2.392497
169800,2.392514
169900,2.392140
170000,2.391832
170100,2.391673
170200,2.391392
170300,2.391100
170400,2.390693
170500,2.390405
170600,2.390233
170700,2.389837
170800,2.389597
170900,2.389230
171000,2.389057
171100,2.388971
171200,2.388689
171300,2.388325
171400,2.388160
171500,2.388011
171600,2.387897
171700,2.387623
171800,2.387582
171900,2.387464
172000,2.387334
172100,2.387274
172200,2.387191
172300,2.386845
172400,2.386865
172500,2.386724
172600,2.386752
172700,2.386468
172800,2.386474
172900,2.386279
173000,2.386273
173100,2.386334
173200,2.386262
173300,2.386098
173400,2.386029
173500,2.386129
173600,2.385872
